ts	conn_count_uid_in	ssh_count_uid_in
1615247400000	11618.0	761.0
1615248000000	11985.0	661.0
1615248600000	11509.0	669.0
1615249200000	12181.0	670.0
1615249800000	12894.0	629.0
1615250400000	12873.0	568.0
1615251000000	22074.0	623.0
1615251600000	15174.0	549.0
1615252200000	12202.0	519.0
1615252800000	12546.0	751.0
1615253400000	16375.0	2556.0
1615254000000	14698.0	2275.0
1615254600000	16828.0	2182.0
1615255200000	14579.0	2245.0
1615255800000	22613.0	2947.0
1615256400000	23759.0	2999.0
1615257000000	25375.0	2757.0
1615257600000	32511.0	3324.0
1615258200000	27087.0	2489.0
1615258800000	38144.0	3720.0
1615259400000	34985.0	3828.0
1615260000000	30031.0	3093.0
1615260600000	28109.0	2978.0
1615261200000	21090.0	2059.0
1615261800000	14737.0	1230.0
1615262400000	13380.0	922.0
1615263000000	14012.0	825.0
1615263600000	15349.0	1193.0
1615264200000	18461.0	1904.0
1615264800000	18621.0	1878.0
1615265400000	20050.0	1848.0
1615266000000	18410.0	1789.0
1615266600000	13004.0	1021.0
1615267200000	11320.0	731.0
1615267800000	11490.0	669.0
1615268400000	11273.0	637.0
1615269000000	12090.0	693.0
1615269600000	19574.0	1616.0
1615270200000	11571.0	660.0
1615270800000	10666.0	511.0
1615271400000	11334.0	596.0
1615272000000	10959.0	858.0
1615272600000	19889.0	1098.0
1615273200000	13196.0	1120.0
1615273800000	14854.0	1083.0
1615274400000	11515.0	938.0
1615275000000	11910.0	548.0
1615275600000	10571.0	566.0
1615276200000	15470.0	679.0
1615276800000	12482.0	635.0
1615277400000	14586.0	683.0
1615278000000	21252.0	1786.0
1615278600000	21450.0	1845.0
1615279200000	20709.0	1736.0
1615279800000	16848.0	1345.0
1615280400000	13219.0	980.0
1615281000000	12711.0	851.0
1615281600000	12654.0	815.0
1615282200000	13156.0	831.0
1615282800000	19298.0	1681.0
1615283400000	18592.0	3009.0
1615284000000	29522.0	4373.0
1615284600000	29895.0	3168.0
1615285200000	20086.0	2037.0
1615285800000	19697.0	1856.0
1615286400000	14954.0	1384.0
1615287000000	13820.0	1116.0
1615287600000	11933.0	806.0
1615288200000	13073.0	682.0
1615288800000	11594.0	674.0
1615289400000	18846.0	1207.0
1615290000000	17834.0	1345.0
1615290600000	20764.0	1246.0
1615291200000	14485.0	765.0
1615291800000	14376.0	570.0
1615292400000	14405.0	651.0
1615293000000	18872.0	1406.0
1615293600000	15285.0	818.0
1615294200000	22890.0	512.0
1615294800000	16200.0	504.0
1615295400000	16928.0	586.0
1615296000000	13726.0	699.0
1615296600000	14530.0	630.0
1615297200000	13469.0	669.0
1615297800000	18545.0	596.0
1615298400000	15028.0	712.0
1615299000000	13464.0	697.0
1615299600000	13953.0	749.0
1615300200000	14521.0	698.0
1615300800000	13644.0	699.0
1615301400000	12697.0	730.0
1615302000000	12476.0	807.0
1615302600000	14507.0	720.0
1615303200000	14412.0	692.0
1615303800000	13664.0	726.0
1615304400000	13471.0	647.0
1615305000000	13835.0	571.0
1615305600000	13155.0	632.0
1615306200000	12991.0	468.0
1615306800000	19670.0	1348.0
1615307400000	21520.0	1648.0
1615308000000	22512.0	1645.0
1615308600000	23507.0	1445.0
1615309200000	15594.0	967.0
1615309800000	15213.0	592.0
1615310400000	13460.0	542.0
1615311000000	14302.0	601.0
1615311600000	14697.0	729.0
1615312200000	14419.0	683.0
1615312800000	12996.0	633.0
1615313400000	16114.0	760.0
1615314000000	14590.0	750.0
1615314600000	12931.0	671.0
1615315200000	14618.0	728.0
1615315800000	23507.0	737.0
1615316400000	16979.0	742.0
1615317000000	12552.0	776.0
1615317600000	12954.0	742.0
1615318200000	13031.0	763.0
1615318800000	13484.0	790.0
1615319400000	16379.0	712.0
1615320000000	13966.0	752.0
1615320600000	12912.0	650.0
1615321200000	13128.0	699.0
1615321800000	14021.0	729.0
1615322400000	12601.0	808.0
1615323000000	14070.0	755.0
1615323600000	18074.0	1493.0
1615324200000	24747.0	2670.0
1615324800000	25104.0	2686.0
1615325400000	23754.0	2511.0
1615326000000	14121.0	1344.0
1615326600000	14602.0	878.0
1615327200000	14093.0	766.0
1615327800000	13357.0	714.0
1615328400000	13295.0	707.0
1615329000000	13704.0	789.0
1615329600000	12551.0	749.0
1615330200000	14408.0	729.0
1615330800000	13614.0	838.0
1615331400000	14594.0	719.0
1615332000000	12260.0	790.0
1615332600000	12017.0	787.0
1615333200000	15917.0	849.0
1615333800000	14449.0	952.0
1615334400000	12347.0	894.0
1615335000000	12332.0	929.0
1615335600000	12457.0	888.0
1615336200000	14196.0	855.0
1615336800000	10462.0	845.0
1615337400000	21377.0	939.0
1615338000000	12803.0	910.0
1615338600000	12157.0	916.0
1615339200000	14802.0	3547.0
1615339800000	10974.0	844.0
1615340400000	10461.0	852.0
1615341000000	13550.0	847.0
1615341600000	16064.0	4376.0
1615342200000	11033.0	718.0
1615342800000	10932.0	702.0
1615343400000	11946.0	653.0
1615344000000	18537.0	1758.0
1615344600000	20177.0	2259.0
1615345200000	16756.0	1654.0
1615345800000	10908.0	649.0
1615346400000	13592.0	601.0
1615347000000	27396.0	3158.0
1615347600000	33144.0	4553.0
1615348200000	27218.0	3488.0
1615348800000	21375.0	2496.0
1615349400000	16909.0	1920.0
1615350000000	14795.0	1365.0
1615350600000	14426.0	1284.0
1615351200000	13751.0	1274.0
1615351800000	14183.0	1248.0
1615352400000	12800.0	1384.0
1615353000000	12227.0	1284.0
1615353600000	13106.0	1359.0
1615354200000	18268.0	2192.0
1615354800000	17527.0	2258.0
1615355400000	19919.0	2275.0
1615356000000	26412.0	7477.0
1615356600000	33991.0	10633.0
1615357200000	10399.0	775.0
1615357800000	7771.0	699.0
1615358400000	7768.0	662.0
1615359000000	16863.0	653.0
1615359600000	11345.0	635.0
1615360200000	11517.0	1577.0
1615360800000	20389.0	7354.0
1615361400000	9032.0	740.0
1615362000000	8689.0	624.0
1615362600000	14283.0	640.0
1615363200000	9675.0	610.0
1615363800000	10980.0	865.0
1615364400000	21666.0	2831.0
1615365000000	21890.0	2982.0
1615365600000	18957.0	2577.0
1615366200000	11933.0	1720.0
1615366800000	11139.0	898.0
1615367400000	18966.0	1441.0
1615368000000	27943.0	3161.0
1615368600000	27196.0	3138.0
1615369200000	24475.0	2876.0
1615369800000	17670.0	1604.0
1615370400000	13975.0	731.0
1615371000000	15842.0	740.0
1615371600000	13066.0	780.0
1615372200000	16544.0	807.0
1615372800000	18291.0	1405.0
1615373400000	26295.0	2775.0
1615374000000	25584.0	2689.0
1615374600000	25637.0	2565.0
1615375200000	18656.0	1971.0
1615375800000	14116.0	1041.0
1615376400000	14624.0	898.0
1615377000000	16079.0	914.0
1615377600000	15390.0	922.0
1615378200000	16492.0	824.0
1615378800000	42265.0	794.0
1615379400000	47633.0	854.0
1615380000000	47300.0	851.0
1615380600000	57072.0	718.0
1615381200000	48075.0	705.0
1615381800000	43272.0	696.0
1615382400000	43230.0	685.0
1615383000000	42591.0	644.0
1615383600000	43630.0	670.0
1615384200000	47085.0	708.0
1615384800000	41515.0	682.0
1615385400000	43438.0	679.0
1615386000000	42974.0	773.0
1615386600000	43787.0	760.0
1615387200000	43843.0	687.0
1615387800000	48767.0	759.0
1615388400000	51847.0	1852.0
1615389000000	53172.0	2208.0
1615389600000	53999.0	2279.0
1615390200000	51912.0	2198.0
1615390800000	46759.0	1422.0
1615391400000	46350.0	950.0
1615392000000	44364.0	833.0
1615392600000	43776.0	620.0
1615393200000	43408.0	592.0
1615393800000	45488.0	546.0
1615394400000	48036.0	548.0
1615395000000	43995.0	592.0
1615395600000	49463.0	453.0
1615396200000	49128.0	528.0
1615396800000	48002.0	553.0
1615397400000	51013.0	546.0
1615398000000	49124.0	564.0
1615398600000	50466.0	613.0
1615399200000	48586.0	635.0
1615399800000	50009.0	543.0
1615400400000	49193.0	726.0
1615401000000	48369.0	579.0
1615401600000	49879.0	637.0
1615402200000	58210.0	708.0
1615402800000	50495.0	677.0
1615403400000	51449.0	724.0
1615404000000	57219.0	682.0
1615404600000	55431.0	1975.0
1615405200000	58536.0	2415.0
1615405800000	52723.0	2371.0
