conn_count_uid_in	conn_count_uid_out	dns_count_uid_out	http_count_uid_in	ssl_count_uid_in
9960	1767	316	513	226
14698	1665	380	555	238
25334	2039	955	598	307
22722	1952	947	602	312
16126	2462	1121	474	237
10495	1774	420	590	335
13417	971	109	541	274
12099	1608	40	482	253
10957	1179	102	510	363
11408	1457	133	1851	289
10805	1527	165	908	279
12036	1537	383	532	653
10081	1602	64	636	233
9753	1021	63	564	227
9869	1441	77	396	323
10527	1533	26	2008	278
9921	1172	84	941	242
9222	1885	509	382	340
9690	1634	151	470	244
9465	1289	182	352	229
10227	1440	68	681	305
17899	2283	227	8715	298
12775	1922	139	3421	250
10595	2073	587	410	305
10213	924	175	381	257
16835	1714	215	476	233
24096	2291	795	468	321
22658	1988	692	1926	294
17716	1811	671	778	248
11623	1759	690	1243	333
10526	1714	76	469	247
10112	1664	115	389	233
10431	966	84	463	328
10795	1742	129	752	301
10719	1693	94	553	248
10057	1574	394	441	338
9841	1458	183	426	244
11128	1659	236	412	254
10099	1358	113	588	344
10182	1730	138	497	272
10900	1244	69	406	256
10182	1668	392	378	312
11553	1923	190	676	289
9993	1199	41	338	236
9886	1616	23	361	319
11792	1301	93	2487	286
10688	1280	84	1185	240
10522	2443	468	473	347
10111	1671	83	577	243
10384	934	118	488	266
9850	1609	72	1672	317
21468	3465	297	9075	290
25326	1484	411	3677	301
22626	2314	901	535	343
19065	1794	530	528	234
12622	1711	504	563	234
10815	1805	197	491	350
12874	1770	63	2747	266
10428	1240	57	1142	235
10485	1676	472	468	374
10425	1773	285	376	227
12875	1383	248	426	266
10529	1901	303	505	353
10384	1674	84	1048	321
10911	1306	85	673	225
10381	1909	572	621	295
10279	1553	149	597	247
11411	1726	100	505	236
10974	1340	133	444	314
12735	1682	58	768	284
11379	1825	188	548	262
12614	1793	710	390	293
10651	1564	281	380	224
10204	1638	171	525	240
10325	1570	192	369	403
9666	1473	90	357	281
9762	1646	87	319	228
10747	2040	489	353	296
10008	1119	152	290	248
10750	1439	148	402	278
10957	1863	301	388	357
12675	1332	131	2478	282
11411	1735	220	1150	232
12885	2864	977	474	542
11611	1778	643	598	231
14560	1815	717	551	247
22124	2717	1472	791	308
19526	2791	558	8635	271
14190	1841	357	3489	265
14767	1984	669	655	318
22020	1726	444	818	225
15122	1539	403	635	245
20890	1668	400	811	315
18088	1614	394	2856	287
16040	1274	400	1239	223
17854	2578	1233	836	292
16505	2009	606	611	272
14597	1605	654	476	236
15452	1951	558	653	339
15780	2009	579	1182	298
15139	2032	598	786	229
15764	2090	1104	537	319
14887	1774	560	562	207
12269	1818	410	553	253
10491	1355	382	512	312
11011	1692	285	918	266
10723	1789	250	634	237
12098	2399	982	613	330
10088	1561	503	584	218
10791	1954	483	456	244
10256	1683	369	786	395
11244	1561	403	449	274
15060	1676	447	780	246
20734	2444	1054	1140	317
19859	1936	516	888	251
14335	1506	424	531	255
11287	1840	375	604	325
13311	1983	470	2602	298
11402	1876	296	1481	229
10284	1944	673	592	381
12117	1705	411	587	224
10865	1753	417	482	247
11188	1647	407	677	306
18269	3044	622	8496	276
13488	1869	460	3571	215
10634	2039	670	578	314
11093	1848	459	533	229
11326	1414	307	485	226
10289	1744	323	487	318
12256	1765	320	2777	279
11851	1972	522	1149	222
11208	1702	756	469	296
11031	1767	393	594	220
10879	1673	391	485	293
10623	1650	300	438	299
11445	1340	299	1099	274
10992	1726	303	651	214
10463	2033	688	459	296
11461	1923	454	576	220
10897	1423	424	519	243
11679	2045	572	611	301
11613	1926	412	835	286
11529	1969	419	830	329
10840	1945	650	503	317
10903	1569	254	663	209
10648	1834	318	741	228
10627	1740	238	687	306
10817	1607	273	615	263
10818	1647	235	470	250
10471	2003	576	472	296
12852	1572	229	475	271
10486	1396	260	659	282
11672	1470	233	682	325
14318	1658	220	2674	285
11784	1707	246	1202	235
12166	2156	611	512	324
13013	1652	359	901	236
12412	1960	381	825	225
12572	1770	240	826	333
20556	3031	542	8519	269
16645	1779	420	3477	225
15530	2262	830	429	352
14389	1944	439	402	453
13302	1699	473	441	252
14864	1869	583	457	304
19695	1857	393	2652	276
15456	1908	436	1151	227
11622	2086	767	493	322
11899	1575	332	502	230
10873	1823	307	471	269
12613	1866	357	499	348
21688	2109	520	1250	277
21880	1814	711	860	213
21926	2406	922	560	305
20711	2207	658	594	333
13451	1886	420	479	232
11676	1834	462	545	296
11489	1699	351	1291	304
10921	1770	285	650	235
11032	2169	715	521	303
11396	1878	439	533	243
10536	1653	433	545	233
11401	1930	405	530	305
13588	1706	39	605	293
12796	1561	99	561	279
10523	1726	416	633	315
11971	1927	227	655	256
10738	1655	101	579	368
10255	1348	58	594	314
12658	1504	189	2701	301
10319	1668	128	1243	210
20938	2866	919	558	321
21918	1894	890	668	244
21466	2396	938	604	281
16687	2349	808	855	378
19419	3216	384	8826	339
13697	1600	104	3550	221
10305	2292	682	720	300
15748	1933	287	554	209
21902	2410	952	513	222
10881	1608	221	553	300
13001	1804	199	2811	278
11678	1767	196	1160	237
13903	2229	1108	460	287
13733	2450	875	468	245
17299	2658	1130	670	235
38931	2465	943	531	301
62038	2060	824	1184	288
61732	2363	751	673	257
59365	2635	1069	681	394
54242	1724	668	486	308
48174	1855	339	542	299
48877	1951	428	535	392
53914	1923	488	862	373
60699	2411	1083	672	441
57212	3003	1108	1480	392
57135	1923	756	1401	358
58882	2329	705	3023	327
51675	2186	948	811	437
51404	2247	560	797	410
55591	1989	385	721	323
52124	2052	900	810	410
55440	2215	484	618	320
51993	2041	424	661	333
52782	2046	685	1333	384
58032	1885	422	3187	331
49807	1957	346	1559	289
48887	2923	1031	877	375
53736	2210	967	940	321
57575	2362	820	1111	338
68820	2748	1210	963	418
67501	4075	1216	8562	377
61335	2494	928	3645	283
59570	2707	1254	520	392
54164	2432	751	571	251
51258	1695	488	656	327
47343	2000	300	835	458
50296	2052	376	2726	381
47289	1885	437	1373	325
48541	2150	752	577	422
46068	2042	347	720	334
49020	2037	334	715	367
49551	1792	513	618	481
59580	2466	856	1154	492
66554	2560	945	695	355
69692	2551	1559	668	428
61749	2991	1416	600	294
45987	2056	601	556	302
47445	1563	405	849	379
46897	1982	347	887	394
46523	2034	423	702	305
47826	2080	765	604	565
60460	2635	1069	553	344
59719	2644	1101	826	362
58934	2239	1050	550	433
52406	2874	1343	492	341
46478	1918	375	526	276
48660	2041	629	528	379
47987	1563	297	752	253
45768	2432	634	535	271
47861	2240	457	725	469
51575	1553	296	4721	331
49297	1852	274	1980	340
48440	3130	1062	676	525
46671	1739	176	805	419
47321	1664	242	661	383
48507	1763	181	1273	447
64367	3323	465	16167	360
51973	1750	229	6409	293
47530	2302	663	808	350
47473	1670	136	754	313
48770	1850	243	734	313
48566	1550	181	607	662
51354	1790	98	4933	314
49164	2560	662	2118	268
47065	2178	657	613	337
50301	2379	949	766	273
48213	2198	498	587	251
50392	2221	443	623	312
48480	1620	144	1797	299
48442	1560	90	929	231
46992	2119	499	541	313
47104	1892	167	669	202
48296	1402	223	1028	254
46565	1946	289	594	318
47813	1893	252	1127	323
48112	1724	153	728	231
47589	1669	476	622	304
50433	1925	258	516	204
52915	1897	182	501	231
50935	1858	218	515	350
44480	1441	240	577	310
46530	1820	143	520	258
45522	1953	500	542	307
48465	1613	124	535	237
47705	1343	108	612	255
48367	1674	115	773	387
48302	1733	145	2682	326
48099	1555	114	1228	227
42678	2352	517	503	309
47363	1856	335	613	240
48044	2031	397	487	245
48235	1304	118	791	313
53539	3252	435	8406	302
48824	1558	240	3470	226
49316	2013	589	750	318
46919	1674	207	446	232
49123	2019	279	569	269
51802	1588	168	526	325
50157	1839	104	2687	296
48255	2166	321	2064	301
59410	2696	1668	1111	372
51413	1777	205	1577	270
56926	2179	421	562	360
55160	1699	403	583	380
55247	2213	431	1329	305
48190	2158	284	643	244
52137	1744	540	509	344
62224	1924	383	532	238
58924	2119	314	514	235
62519	1688	317	539	319
56201	2070	242	909	319
48441	1723	140	611	335
48025	1636	547	605	329
44558	1833	186	541	228
47003	1633	238	426	262
47125	1609	136	707	333
46168	1343	87	527	348
47265	1223	90	640	293
48672	2000	412	664	322
45468	1323	159	592	215
44848	1560	78	698	251
44899	1330	17	577	326
47832	1417	191	2666	302
46749	1670	67	1262	293
48224	2346	519	655	351
48437	1406	223	761	268
47745	1956	265	614	268
48079	1460	210	954	338
57253	3382	427	8391	300
52705	1488	145	3876	226
42425	1984	735	619	296
42717	1869	292	911	241
63517	2128	914	765	226
54977	2375	769	932	356
55865	2420	1109	2866	364
47942	2204	1082	1211	268
42842	2710	817	690	359
27260	1924	673	598	264
14711	2360	789	641	267
12291	1801	389	805	350
11378	1244	264	1273	348
11485	1960	363	837	272
11980	1889	720	613	346
11057	2162	520	663	321
10094	1838	502	561	320
11046	1918	900	566	388
11349	2101	508	1301	372
17386	1887	545	780	360
30929	3047	1706	898	444
32227	2080	890	796	337
30151	1868	736	1680	372
19908	2233	710	714	529
13380	1761	447	543	447
11471	1704	399	621	439
12248	2413	1311	520	405
10518	1724	620	501	281
10769	2009	455	522	266
11716	1771	473	713	356
14198	1636	500	3505	343
12029	1912	268	1446	322
12302	2427	755	556	373
12302	2277	531	704	304
10558	1634	460	796	288
10893	1935	707	909	372
17964	3338	564	8489	344
13648	2062	620	3516	281
14346	2377	770	435	376
22381	1452	592	506	260
23862	2269	772	454	258
19943	2343	771	637	354
19107	1826	578	4925	371
13822	2170	615	2050	286
14474	2169	1196	577	369
11444	1955	562	564	261
10798	2208	605	641	268
11107	1702	484	684	367
11727	1783	471	1997	326
11522	1967	457	1050	292
15930	2095	947	667	340
12218	1945	288	1132	402
11668	1304	388	741	395
12424	1820	254	617	362
15497	2214	545	1362	360
13078	1637	355	1118	356
11008	2077	850	1144	382
12378	2638	931	726	348
13662	1762	506	781	295
10962	2115	490	834	340
11094	1543	458	795	383
10640	1853	170	831	304
11784	1966	742	1089	389
10308	1525	293	818	246
10519	1642	177	689	240
11152	1724	293	671	327
13945	1467	179	4761	288
12306	1393	171	2075	242
10773	2936	763	860	351
12660	1248	327	1061	244
22844	2475	963	741	286
22797	2103	871	1259	304
34943	3720	1024	15864	299
18087	2124	630	6216	237
10777	1917	663	727	295
9547	1999	399	613	219
9673	1097	132	753	224
9881	1820	143	760	323
12108	1488	219	2999	275
10185	1450	212	1448	265
10837	1806	646	874	309
9382	2078	459	746	249
10774	1591	368	564	223
10867	1399	145	612	326
26137	3121	1489	1193	335
11564	1160	358	677	251
10142	1992	485	635	324
9473	1473	285	693	203
9600	1459	313	493	208
9934	1758	207	493	326
10149	1303	175	861	262
9563	1602	213	742	225
9119	1489	526	599	313
9024	1932	187	1222	207
10196	1206	121	1565	237
10810	1471	129	620	324
9678	1597	102	612	298
9134	1346	60	665	247
12614	1795	560	847	321
9776	1313	136	552	200
9551	1759	199	369	238
12823	1211	326	555	332
15073	1927	271	2560	271
12607	1532	267	1122	237
12104	2287	731	503	353
11277	1565	317	500	203
9124	1804	209	476	266
9060	994	113	706	334
22767	3282	368	8621	261
12269	1420	142	3483	284
10928	1783	528	432	333
10655	1190	222	418	233
20223	1980	344	398	236
22585	1665	454	492	309
23708	1586	404	2641	271
22569	1853	478	1190	314
21950	2068	777	641	399
17888	1350	371	582	284
13292	1993	495	472	295
14828	1555	453	450	355
13450	1682	358	1041	278
12180	1548	312	643	263
10597	1845	554	672	345
